"model","rowid","timestamp","testletid","itemid","alphabet","A","B","C","D","template_nr","item_prompt","response","logprob","finish_reason","cleaned_response","correct_response","correct","stringdist"
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",8,20241026185247,18,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa iota iota",NA,NA,"kappa kappa iota iota","kappa kappa mu mu",0,2
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",9,20241026185249,18,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu",1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota mu",0,1
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",10,20241026185250,18,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu",1,"If epsilon zeta changes to epsilon eta eta, what does kappa lambda change to ?","kappa lambda lambda",NA,NA,"kappa lambda lambda","kappa mu mu",0,2
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",11,20241026185251,18,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","zeta theta",NA,NA,"zeta theta","zeta zeta theta theta",0,2
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",12,20241026185252,18,1001,"Symbol","* @","* %","^ #","^ ~",1,"If * @ changes to * %, what does ^ # change to ?","^ $",NA,NA,"^ $","^ ~",0,1
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",13,20241026185252,18,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","= = ) )",NA,NA,"= = ) )","= = ) )",1,0
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",14,20241026185254,18,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ {",NA,NA,"~ {","~ =",0,1
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",15,20241026185255,18,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ { {",NA,NA,"$ { {","$ = =",0,2
"meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo",16,20241026185256,18,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","% % { {",NA,NA,"% % { {","~ ~ { {",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",0,20241026185257,18,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,20241026185258,18,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",2,20241026185259,18,1001,"Latin","a b","a c","e f","e g",1,"If a b changes to a c, what does e f change to ?","e g",NA,NA,"e g","e g",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",3,20241026185259,18,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m o o",NA,NA,"m m o o","m m o o",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",4,20241026185303,18,1003,"Latin","g h","g j","k l","k n",1,"If g h changes to g j, what does k l change to ?","k m",NA,NA,"k m","k n",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",5,20241026185304,18,1004,"Latin","c d","c e e","h i","h j j",1,"If c d changes to c e e, what does h i change to ?","h j j",NA,NA,"h j j","h j j",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",6,20241026185305,18,1005,"Latin","d e","c e","k k l l","j j l l",1,"If d e changes to c e, what does k k l l change to ?","j j k k",NA,NA,"j j k k","j j l l",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",7,20241026185306,18,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta",1,"If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta",NA,NA,"zeta theta","zeta theta",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",8,20241026185307,18,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa mu mu",NA,NA,"kappa kappa mu mu","kappa kappa mu mu",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",9,20241026185308,18,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu",1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda",NA,NA,"iota lambda","iota mu",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,20241026185309,18,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu",1,"If epsilon zeta changes to epsilon eta eta, what does kappa lambda change to ?","kappa mu mu",NA,NA,"kappa mu mu","kappa mu mu",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",11,20241026185310,18,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","zeta zeta eta eta",NA,NA,"zeta zeta eta eta","zeta zeta theta theta",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",12,20241026185311,18,1001,"Symbol","* @","* %","^ #","^ ~",1,"If * @ changes to * %, what does ^ # change to ?","^ ~",NA,NA,"^ ~","^ ~",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",13,20241026185312,18,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","= = ) )",NA,NA,"= = ) )","= = ) )",1,0
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",14,20241026185313,18,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ {",NA,NA,"~ {","~ =",0,1
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",15,20241026185314,18,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ # #",NA,NA,"$ # #","$ = =",0,2
"meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",16,20241026185315,18,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","# # $ $",NA,NA,"# # $ $","~ ~ { {",0,4
"google/gemma-2-27b-it",0,20241026185315,18,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"google/gemma-2-27b-it",1,20241026185316,18,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k 
",NA,NA,"j k k","j k k",1,0
"google/gemma-2-27b-it",2,20241026185316,18,1001,"Latin","a b","a c","e f","e g",1,"If a b changes to a c, what does e f change to ?","e g 
",NA,NA,"e g","e g",1,0
"google/gemma-2-27b-it",3,20241026185317,18,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m o o 
",NA,NA,"m m o o","m m o o",1,0
"google/gemma-2-27b-it",4,20241026185317,18,1003,"Latin","g h","g j","k l","k n",1,"If g h changes to g j, what does k l change to ?","k n 
",NA,NA,"k n","k n",1,0
"google/gemma-2-27b-it",5,20241026185317,18,1004,"Latin","c d","c e e","h i","h j j",1,"If c d changes to c e e, what does h i change to ?","h j j 
",NA,NA,"h j j","h j j",1,0
"google/gemma-2-27b-it",6,20241026185318,18,1005,"Latin","d e","c e","k k l l","j j l l",1,"If d e changes to c e, what does k k l l change to ?","j j l l 
",NA,NA,"j j l l","j j l l",1,0
"google/gemma-2-27b-it",7,20241026185318,18,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta",1,"If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta 
",NA,NA,"zeta theta","zeta theta",1,0
"google/gemma-2-27b-it",8,20241026185319,18,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa mu mu 
",NA,NA,"kappa kappa mu mu","kappa kappa mu mu",1,0
"google/gemma-2-27b-it",9,20241026185320,18,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu",1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda 
",NA,NA,"iota lambda","iota mu",0,1
"google/gemma-2-27b-it",10,20241026185320,18,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu",1,"If epsilon zeta changes to epsilon eta eta, what does kappa lambda change to ?","kappa lambda lambda 
",NA,NA,"kappa lambda lambda","kappa mu mu",0,2
"google/gemma-2-27b-it",11,20241026185321,18,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","delta delta theta theta 
",NA,NA,"delta delta theta theta","zeta zeta theta theta",0,2
"google/gemma-2-27b-it",12,20241026185322,18,1001,"Symbol","* @","* %","^ #","^ ~",1,"If * @ changes to * %, what does ^ # change to ?","^ $",NA,NA,"^ $","^ ~",0,1
"google/gemma-2-27b-it",13,20241026185328,18,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","= = ) ) 
",NA,NA,"= = ) )","= = ) )",1,0
"google/gemma-2-27b-it",14,20241026185328,18,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ {",NA,NA,"~ {","~ =",0,1
"google/gemma-2-27b-it",15,20241026185329,18,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ ) )",NA,NA,"$ ) )","$ = =",0,2
"google/gemma-2-27b-it",16,20241026185329,18,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","% % ) )",NA,NA,"% % ) )","~ ~ { {",0,4
"google/gemma-2-9b-it",0,20241026185330,18,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k 
",NA,NA,"k","k",1,0
"google/gemma-2-9b-it",1,20241026185330,18,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k 
",NA,NA,"j k k","j k k",1,0
"google/gemma-2-9b-it",2,20241026185331,18,1001,"Latin","a b","a c","e f","e g",1,"If a b changes to a c, what does e f change to ?","e g 
",NA,NA,"e g","e g",1,0
"google/gemma-2-9b-it",3,20241026185331,18,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m n n 
",NA,NA,"m m n n","m m o o",0,2
"google/gemma-2-9b-it",4,20241026185332,18,1003,"Latin","g h","g j","k l","k n",1,"If g h changes to g j, what does k l change to ?","k n 
",NA,NA,"k n","k n",1,0
"google/gemma-2-9b-it",5,20241026185333,18,1004,"Latin","c d","c e e","h i","h j j",1,"If c d changes to c e e, what does h i change to ?","h j j 
",NA,NA,"h j j","h j j",1,0
"google/gemma-2-9b-it",6,20241026185333,18,1005,"Latin","d e","c e","k k l l","j j l l",1,"If d e changes to c e, what does k k l l change to ?","j j  
",NA,NA,"j j","j j l l",0,2
"google/gemma-2-9b-it",7,20241026185334,18,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta",1,"If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta 
",NA,NA,"zeta theta","zeta theta",1,0
"google/gemma-2-9b-it",8,20241026185335,18,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa lambda mu mu 
",NA,NA,"kappa lambda mu mu","kappa kappa mu mu",0,1
"google/gemma-2-9b-it",9,20241026185335,18,1003,"Greek","epsilon zeta","epsilon theta","iota kappa","iota mu",1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?","iota lambda 
",NA,NA,"iota lambda","iota mu",0,1
"google/gemma-2-9b-it",10,20241026185336,18,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu",1,"If epsilon zeta changes to epsilon eta eta, what does kappa lambda change to ?","kappa lambda mu mu 
",NA,NA,"kappa lambda mu mu","kappa mu mu",0,1
"google/gemma-2-9b-it",11,20241026185337,18,1005,"Greek","gamma delta","beta delta","eta eta theta theta","zeta zeta theta theta",1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?","beta delta epsilon epsilon 
",NA,NA,"beta delta epsilon epsilon","zeta zeta theta theta",0,4
"google/gemma-2-9b-it",12,20241026185337,18,1001,"Symbol","* @","* %","^ #","^ ~",1,"If * @ changes to * %, what does ^ # change to ?","^ $ 
",NA,NA,"^ $","^ ~",0,1
"google/gemma-2-9b-it",13,20241026185338,18,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","= = ^ ^ 
",NA,NA,"= = ^ ^","= = ) )",0,2
"google/gemma-2-9b-it",14,20241026185338,18,1003,"Symbol","# ~","# {","~ $","~ =",1,"If # ~ changes to # {, what does ~ $ change to ?","~ { 
",NA,NA,"~ {","~ =",0,1
"google/gemma-2-9b-it",15,20241026185339,18,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ # # 


",NA,NA,"$ # #","$ = =",0,2
"google/gemma-2-9b-it",16,20241026185339,18,1005,"Symbol","! ^","% ^","$ $ { {","~ ~ { {",1,"If ! ^ changes to % ^, what does $ $ { { change to ?","% % { { 
",NA,NA,"% % { {","~ ~ { {",0,2
"claude-3-5-sonnet-20241022",0,20241026183900,19,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-5-sonnet-20241022",1,20241026183901,19,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"claude-3-5-sonnet-20241022",2,20241026183901,19,1001,"Latin","e f","e g","i j","i k",1,"If e f changes to e g, what does i j change to ?","i k",NA,NA,"i k","i k",1,0
"claude-3-5-sonnet-20241022",3,20241026183902,19,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m n n",NA,NA,"m m n n","m m o o",0,2
"claude-3-5-sonnet-20241022",4,20241026183903,19,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j m",NA,NA,"j m","j m",1,0
"claude-3-5-sonnet-20241022",5,20241026183903,19,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g h h",NA,NA,"g h h","g i i",0,2
"claude-3-5-sonnet-20241022",6,20241026183904,19,1005,"Latin","f g","e g","m m n n","l l n n",1,"If f g changes to e g, what does m m n n change to ?","l m n n",NA,NA,"l m n n","l l n n",0,1
"claude-3-5-sonnet-20241022",7,20241026183905,19,1001,"Greek","zeta eta","zeta theta","kappa lambda","kappa mu",1,"If zeta eta changes to zeta theta, what does kappa lambda change to ?","kappa mu",NA,NA,"kappa mu","kappa mu",1,0
"claude-3-5-sonnet-20241022",8,20241026183906,19,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa lambda lambda",NA,NA,"kappa kappa lambda lambda","kappa kappa mu mu",0,2
"claude-3-5-sonnet-20241022",9,20241026183907,19,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa",NA,NA,"theta kappa","theta lambda",0,1
"claude-3-5-sonnet-20241022",10,20241026183908,19,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda mu mu",NA,NA,"lambda mu mu","lambda nu nu",0,2
"claude-3-5-sonnet-20241022",11,20241026183909,19,1005,"Greek","epsilon zeta","delta zeta","iota iota kappa kappa","theta theta kappa kappa",1,"If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?","theta theta kappa kappa",NA,NA,"theta theta kappa kappa","theta theta kappa kappa",1,0
"claude-3-5-sonnet-20241022",12,20241026183910,19,1001,"Symbol","^ #","^ ~","{ =","{ :",1,"If ^ # changes to ^ ~, what does { = change to ?","{ $",NA,NA,"{ $","{ :",0,1
"claude-3-5-sonnet-20241022",13,20241026183912,19,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","= = : :",NA,NA,"= = : :","= = ) )",0,2
"claude-3-5-sonnet-20241022",14,20241026183913,19,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","# $",NA,NA,"# $","# {",0,1
"claude-3-5-sonnet-20241022",15,20241026183914,19,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","$ { {",NA,NA,"$ { {","$ = =",0,2
"claude-3-5-sonnet-20241022",16,20241026183915,19,1005,"Symbol","# ~","^ ~","= = : :","{ { : :",1,"If # ~ changes to ^ ~, what does = = : : change to ?","^ ^ : :",NA,NA,"^ ^ : :","{ { : :",0,2
"claude-3-sonnet-20240229",0,20241026183916,19,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-sonnet-20240229",1,20241026183916,19,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"claude-3-sonnet-20240229",2,20241026183917,19,1001,"Latin","e f","e g","i j","i k",1,"If e f changes to e g, what does i j change to ?","i k",NA,NA,"i k","i k",1,0
"claude-3-sonnet-20240229",3,20241026183918,19,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m o o",NA,NA,"m m o o","m m o o",1,0
"claude-3-sonnet-20240229",4,20241026183918,19,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j m",NA,NA,"j m","j m",1,0
"claude-3-sonnet-20240229",5,20241026183919,19,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","h i i",NA,NA,"h i i","g i i",0,1
"claude-3-sonnet-20240229",6,20241026183919,19,1005,"Latin","f g","e g","m m n n","l l n n",1,"If f g changes to e g, what does m m n n change to ?","l l n n",NA,NA,"l l n n","l l n n",1,0
"claude-3-sonnet-20240229",7,20241026183920,19,1001,"Greek","zeta eta","zeta theta","kappa lambda","kappa mu",1,"If zeta eta changes to zeta theta, what does kappa lambda change to ?","kappa mu",NA,NA,"kappa mu","kappa mu",1,0
"claude-3-sonnet-20240229",8,20241026183921,19,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa mu mu",NA,NA,"kappa kappa mu mu","kappa kappa mu mu",1,0
"claude-3-sonnet-20240229",9,20241026183922,19,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta lambda",NA,NA,"theta lambda","theta lambda",1,0
"claude-3-sonnet-20240229",10,20241026183923,19,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"claude-3-sonnet-20240229",11,20241026183924,19,1005,"Greek","epsilon zeta","delta zeta","iota iota kappa kappa","theta theta kappa kappa",1,"If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?","theta theta kappa kappa",NA,NA,"theta theta kappa kappa","theta theta kappa kappa",1,0
"claude-3-sonnet-20240229",12,20241026183925,19,1001,"Symbol","^ #","^ ~","{ =","{ :",1,"If ^ # changes to ^ ~, what does { = change to ?","{ ~",NA,NA,"{ ~","{ :",0,1
"claude-3-sonnet-20240229",13,20241026183927,19,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","= ^ ^
If ! @ changes to !",NA,NA,"!","= = ) )",0,4
"claude-3-sonnet-20240229",14,20241026183928,19,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","i k
m m o o
j m",NA,NA,"i k m m o o j m","# {",0,8
"claude-3-sonnet-20240229",15,20241026183929,19,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","h i i
l l n n
k",NA,NA,"h i i l l n n k","$ = =",0,8
"claude-3-sonnet-20240229",16,20241026183930,19,1005,"Symbol","# ~","^ ~","= = : :","{ { : :",1,"If # ~ changes to ^ ~, what does = = : : change to ?","i i j j",NA,NA,"i i j j","{ { : :",0,4
"gpt-3.5-turbo-0125",0,20241026190017,19,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-3.5-turbo-0125",1,20241026190017,19,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-3.5-turbo-0125",2,20241026190018,19,1001,"Latin","e f","e g","i j","i k",1,"If e f changes to e g, what does i j change to ?","i k",NA,NA,"i k","i k",1,0
"gpt-3.5-turbo-0125",3,20241026190018,19,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m o o",NA,NA,"m m o o","m m o o",1,0
"gpt-3.5-turbo-0125",4,20241026190021,19,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j k i l",NA,NA,"j k i l","j m",0,3
"gpt-3.5-turbo-0125",5,20241026190021,19,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g h h i",NA,NA,"g h h i","g i i",0,2
"gpt-3.5-turbo-0125",6,20241026190022,19,1005,"Latin","f g","e g","m m n n","l l n n",1,"If f g changes to e g, what does m m n n change to ?","m m n n o o",NA,NA,"m m n n o o","l l n n",0,4
"gpt-3.5-turbo-0125",7,20241026190022,19,1001,"Greek","zeta eta","zeta theta","kappa lambda","kappa mu",1,"If zeta eta changes to zeta theta, what does kappa lambda change to ?","kappa lambda changes to kappa mu",NA,NA,"kappa mu","kappa mu",1,0
"gpt-3.5-turbo-0125",8,20241026190023,19,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa mu",NA,NA,"kappa mu","kappa kappa mu mu",0,2
"gpt-3.5-turbo-0125",9,20241026190023,19,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa",NA,NA,"theta kappa","theta lambda",0,1
"gpt-3.5-turbo-0125",10,20241026190024,19,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda mu changes to lambda nu",NA,NA,"lambda nu","lambda nu nu",0,1
"gpt-3.5-turbo-0125",11,20241026190024,19,1005,"Greek","epsilon zeta","delta zeta","iota iota kappa kappa","theta theta kappa kappa",1,"If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?","delta delta kappa kappa",NA,NA,"delta delta kappa kappa","theta theta kappa kappa",0,2
"gpt-3.5-turbo-0125",12,20241026190025,19,1001,"Symbol","^ #","^ ~","{ =","{ :",1,"If ^ # changes to ^ ~, what does { = change to ?","{ = changes to { ~",NA,NA,"{ ~","{ :",0,1
"gpt-3.5-turbo-0125",13,20241026190026,19,1002,"Symbol","% !","% % ^ ^","= :","= = ) )",1,"If % ! changes to % % ^ ^, what does = : change to ?","% % ^ ^",NA,NA,"% % ^ ^","= = ) )",0,4
"gpt-3.5-turbo-0125",14,20241026190026,19,1003,"Symbol","^ #","^ $","# ~","# {",1,"If ^ # changes to ^ $, what does # ~ change to ?","{ ~ $",NA,NA,"{ ~ $","# {",0,3
"gpt-3.5-turbo-0125",15,20241026190026,19,1004,"Symbol","! ^","! # #","$ {","$ = =",1,"If ! ^ changes to ! # #, what does $ { change to ?","{ $",NA,NA,"{ $","$ = =",0,3
"gpt-3.5-turbo-0125",16,20241026190027,19,1005,"Symbol","# ~","^ ~","= = : :","{ { : :",1,"If # ~ changes to ^ ~, what does = = : : change to ?","= = : : : :",NA,NA,"= = : : : :","{ { : :",0,4
"gpt-4-0613",0,20241026190028,19,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"gpt-4-0613",1,20241026190028,19,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"gpt-4-0613",2,20241026190029,19,1001,"Latin","e f","e g","i j","i k",1,"If e f changes to e g, what does i j change to ?","i k",NA,NA,"i k","i k",1,0
"gpt-4-0613",3,20241026190029,19,1002,"Latin","c d","c c e e","m n","m m o o",1,"If c d changes to c c e e, what does m n change to ?","m m o o",NA,NA,"m m o o","m m o o",1,0
"gpt-4-0613",4,20241026190030,19,1003,"Latin","f g","f i","j k","j m",1,"If f g changes to f i, what does j k change to ?","j m",NA,NA,"j m","j m",1,0
"gpt-4-0613",5,20241026190030,19,1004,"Latin","d e","d f f","g h","g i i",1,"If d e changes to d f f, what does g h change to ?","g i i",NA,NA,"g i i","g i i",1,0
"gpt-4-0613",6,20241026190031,19,1005,"Latin","f g","e g","m m n n","l l n n",1,"If f g changes to e g, what does m m n n change to ?","l m n n",NA,NA,"l m n n","l l n n",0,1
"gpt-4-0613",7,20241026190031,19,1001,"Greek","zeta eta","zeta theta","kappa lambda","kappa mu",1,"If zeta eta changes to zeta theta, what does kappa lambda change to ?","kappa mu",NA,NA,"kappa mu","kappa mu",1,0
"gpt-4-0613",8,20241026190032,19,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu",1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa mu mu",NA,NA,"kappa kappa mu mu","kappa kappa mu mu",1,0
"gpt-4-0613",9,20241026190033,19,1003,"Greek","delta epsilon","delta eta","theta iota","theta lambda",1,"If delta epsilon changes to delta eta, what does theta iota change to ?","theta kappa",NA,NA,"theta kappa","theta lambda",0,1
"gpt-4-0613",10,20241026190033,19,1004,"Greek","eta theta","eta iota iota","lambda mu","lambda nu nu",1,"If eta theta changes to eta iota iota, what does lambda mu change to ?","lambda nu nu",NA,NA,"lambda nu nu","lambda nu nu",1,0
"gpt-4-0613",11,20241026190034,19,1005,"Greek","epsilon zeta","delta zeta","iota iota kappa kappa","theta theta kappa kappa",1,"If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?","theta theta lambda lambda",NA,NA,"theta theta lambda lambda","theta theta kappa kappa",0,2
"gpt-4-0613",12,20241026190034,19,1001,"Symbol","^ #","^ ~","{ =","{ :",1,"If ^ # changes to ^ ~, what does { = change to ?","{ :",NA,NA,"{ :","{ :",1,0
